Data,Area,Empresa,CNPJ,Princípio_ativo,Nome_do_produto,Numero_do_processo,Validade,Petição,Expediente,Numero_do_registro,Prazo_de_validade,Apresentacao,Situacao,Tipo_de_peticao,Categoria_regulatória,Clone,Classe_terapêutica,Data_de_protocolo,Tempo_para_publicação,Tempo_de_fila,Comentarios
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,11730 RDC 73/2016 - SIMILAR - MUDANÇA ADMINISTRATIVA DO DIFA SEM CADIFA,0583087/23-7,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,"11740 RDC 73/2016 - SIMILAR - MUDANÇA DO DIFA SEM CADIFA (IMPLEMENTAÇÃO
IMEDIATA) ",0583089/23-3,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,"11864 RDC 73/2016 - SIMILAR - MUDANÇAS NOS LIMITES DE ESPECIFICAÇÃO FORA DE
LIMITES APROVADOS ANTERIORMENTE",0879510/24-0,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,11868 RDC 73/2016 - SIMILAR - MUDANÇAS INTERMEDIÁRIAS DE MÉTODOS ANALÍTICOS,0879515/24-1,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,142 SIMILAR - RENOVAÇÃO DE REGISTRO DE MEDICAMENTO,037408/11-3,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,30222814000131,LORATADINA,LORASLIV,25000.018544/99-71,08/2026,142 SIMILAR - RENOVAÇÃO DE REGISTRO DE MEDICAMENTO,1213688/16-3,1.0392.0126.001-9, 24 Meses,10 MG COM CT BL AL PLAS PVC TRANS X 12,Deferido,Pós-registro,Similar,,,,,,
9/9/2024,GGMED,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A,61082426000207,DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA + GLICOSE + FRUTOSE,DRAMIN B6 DL,25351.109986/2021-66,08/2026,"11101 RDC 73/2016 - NOVO - INCLUSÃO DE NOVA APRESENTAÇÃO FRACIONÁVEL RESTRITA
AO NÚMERO DE UNIDADES FARMACOTÉCNICAS",0763775/24-6,1.7817.0900.005-3, 24 Meses,(3 + 5 + 100 + 100) MG/ML SOL INJ CX 50 AMP VD AMB X 10ML (EMB FRAC),Deferido,Pós-registro,Novo,,,,,,
9/9/2024,GGMED,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA,1784792000103,CLORETO DE SÓDIO,SOLUCAO FISIOLOGICA DE CLORETO DE SODIO EQUIPLEX,25000.006762/92-79,06/2028,"10220 ESPECÍFICO - INCLUSÃO DE NOVA APRESENTAÇÃO COMERCIAL DE PRODUTO
ESTÉRIL",1323792/23-6,1.1772.0001.042-5,18 Meses,9 MG/ML SOL INJ IV CX 200 AMP PLAS PE TRANS X 5 ML,Deferido,Pós-registro,Específico,,,,,,
9/9/2024,GGMED,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,21896000000191,CLORIDRATO DE PONATINIBE,Iclusig,25351.750852/2018-20,05/2029,10077 MEDICAMENTO NOVO - REVALIDAÇÃO AUTOMATICA DE MEDICAMENTO,1147291/24-0,1.3900.0001.001-4,24 Meses,15 MG COM REV FR PLAS PEAD OPC X 30,Deferido,Pós-registro,Novo,,,,,,
9/9/2024,GGMED,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,21896000000191,CLORIDRATO DE PONATINIBE,Iclusig,25351.750852/2018-20,05/2029,10077 MEDICAMENTO NOVO - REVALIDAÇÃO AUTOMATICA DE MEDICAMENTO,1147291/24-0,1.3900.0001.002-2,24 Meses,45 MG COM REV FR PLAS PEAD OPC X 30,Deferido,Pós-registro,Novo,,,,,,
